WKT,osm_id,name,waterway
"LINESTRING (17.3682486205774 49.6073505288525,17.3679748 49.6071697,17.3673421 49.6069046,17.3658766 49.6065845,17.3657228 49.6066111,17.3648023 49.6070457,17.3643189 49.6071351,17.3637235 49.6071105,17.3630381 49.6069615,17.3623714 49.6069538,17.3619614 49.6069015,17.3616526 49.6067825,17.3615067 49.6066349,17.3613991 49.6065901,17.36102 49.6065114,17.360857 49.606455,17.3606182 49.6063168,17.3602483 49.6062364)","81877735",,stream
"LINESTRING (17.2746871 49.6367037,17.2620422 49.6326285)","81878609",,stream
"LINESTRING (17.2547987 49.5246119,17.2547834 49.5244633,17.2556136 49.5237785,17.2564886 49.5231641,17.2570193 49.5227943,17.2581542 49.5221354,17.2582304 49.5220583,17.2587213 49.5208229,17.2586331 49.5196701,17.2587597 49.5196179,17.2606907 49.5191775,17.2613321 49.5187741,17.2617813 49.5186166)","81879774",,stream
"LINESTRING (17.3354163 49.6103337,17.3351256 49.6102035,17.3341883 49.6100461,17.333434 49.6098446,17.3327012 49.6098103,17.3317892 49.6096886,17.3316085 49.6097189,17.331475 49.6098083,17.3312752 49.6098365,17.3269528 49.6090151,17.3256979 49.6056454,17.3241772 49.6053803,17.3226498 49.6051608,17.3225773 49.605175,17.3222427 49.6054371,17.3217451 49.6058932,17.3215708 49.6060631,17.3211812 49.6066398,17.3206405 49.6075571,17.3205993 49.6076301,17.3203828 49.6078506,17.3189883 49.6082331,17.3176289 49.6087881,17.3169141 49.6090919,17.3164026 49.6092121,17.3145939 49.6097817,17.3141614 49.6098658,17.3130685 49.6099526,17.3126686 49.6100441,17.3122004 49.6100198,17.3113043 49.6107566,17.3105986 49.6115013,17.3103511 49.6116177,17.3099003 49.612262,17.3096338 49.6125065,17.3090901 49.6131938,17.3089532 49.6135965,17.3088351 49.6137372,17.3085557 49.6139414)","81880059",,stream
"LINESTRING (17.2574169 49.5384665,17.2585682 49.5377234,17.2667968 49.5376841)","81880282",,stream
"LINESTRING (17.2666287 49.514876,17.2619192 49.513488,17.261499 49.5134613,17.261071 49.5135161)","81880631",,stream
"LINESTRING (17.2834973 49.5219993,17.2979256 49.5245663,17.3050471 49.5258224)","81880801",,stream
"LINESTRING (17.3330822 49.6070382,17.3324921 49.6070893,17.3318261 49.6069701,17.3287711 49.6063079,17.3256979 49.6056454)","81880869",,stream
"LINESTRING (17.3707052400668 49.6580931801408,17.3698822 49.6582442,17.3689608 49.6583644,17.3682414 49.6583502,17.3674517 49.658207,17.3668162 49.6580219,17.3663744 49.6578293,17.3654675 49.6573174,17.3649489 49.6570787,17.3646931 49.656997,17.36438 49.6569798,17.3643047 49.6570009,17.3638905 49.6573326,17.3635905 49.6574778,17.3635361 49.6575367,17.3635727 49.6575955,17.3635873 49.657619,17.3635462 49.6576703,17.3627559 49.6579474)","81880963",,stream
"LINESTRING (17.2868302 49.5664725,17.2872387 49.5655277,17.2872586 49.5655022,17.2885841 49.5625821,17.2888053 49.5612735,17.2891185 49.5598722,17.2891725 49.5595082,17.2890843 49.5563532,17.2891203 49.5560238)","81881122",,stream
"LINESTRING (17.2333982 49.6310692,17.2335646 49.6310411,17.2340431 49.6307956)","81881161",,stream
"LINESTRING (17.2208325800166 49.6668985897479,17.2188456 49.6651701,17.2170493 49.6638565,17.2158876 49.6630955,17.2125972 49.6612479)","81881425",,stream
"LINESTRING (17.2053821 49.5220975,17.2057174 49.5213816,17.2059326 49.5207182,17.2060735 49.5203951,17.2069481 49.5189209,17.2071337 49.518694,17.2074133 49.5180871,17.2081783 49.5173464,17.2082879 49.5172064,17.2082839 49.517101,17.2079188 49.5161147,17.2077757 49.5159717,17.2074783 49.5157573,17.207423 49.5156505,17.2074151 49.5147167)","81882654",,stream
"LINESTRING (17.1977686 49.6398504,17.1977824 49.6399369,17.1978999 49.6400267,17.1981365 49.6402425,17.1983152 49.640415,17.1983695 49.6404666,17.1983978 49.6404731,17.1984428 49.6404688,17.1985536 49.6404525,17.1986278 49.6404484,17.1986548 49.6404562,17.1987667 49.6405495)","81882924",,stream
"LINESTRING (17.2652064 49.5504978,17.2645743 49.5497657,17.2644732 49.5495563,17.2644054 49.5491797,17.2644131 49.5488989,17.2645831 49.5483715,17.2648224 49.5480579,17.2653731 49.5476855,17.2657671 49.5475058,17.266201 49.5473525,17.2669249 49.5472129,17.2672664 49.5473907,17.2675771 49.5474892,17.2679285 49.5475383,17.268924 49.547508)","81883573",,ditch
"LINESTRING (17.3067211 49.5323114,17.3076835 49.5301367,17.3075755 49.5299544,17.307803 49.5294371,17.3078219 49.5293057,17.3077947 49.529097,17.3078248 49.5289884,17.3096091 49.5251196,17.309753 49.5248582,17.3099152 49.5247258,17.3100285 49.5245585)","81884275",,stream
"LINESTRING (17.344914 49.5280546,17.3449305 49.5277314,17.3449436 49.5274614)","81884436",,stream
"LINESTRING (17.3419596 49.5253499,17.3421263 49.525156,17.3419185 49.5250304,17.3415741 49.5250035,17.3413517 49.5251361)","81886622",,stream
"LINESTRING (17.3624806 49.5950451,17.361582 49.5945274,17.3610468 49.5943504,17.3608086 49.594152,17.3605588 49.594087,17.3602432 49.5940885,17.3599127 49.5941837,17.3597224 49.5941974,17.3590039 49.5941781,17.35895 49.5941766,17.3588587 49.5941339)","81887020",,stream
